norm,metric,gene_set,n_genes,mean_sim_D,mean_sim_V,n_known,n_concordant,pct_all,n_up,n_up_conc,pct_up,n_dn,n_dn_conc,pct_dn,binom_p
CPM only,Spearman,Vorino 1000,1000,0.710865621025058,0.5514576762470841,83,37,44.57831325301205,46,0,0.0,37,37,100.0,0.863865527013976
CPM only,Spearman,Union 1000,1861,0.6287282713432767,0.6569903111534288,83,47,56.626506024096386,46,42,91.30434782608695,37,5,13.513513513513514,0.136134472986024
CPM only,Spearman,Intersect 1000,139,0.9134327313561726,0.921918918235292,83,51,61.44578313253012,46,34,73.91304347826087,37,17,45.945945945945944,0.023762444628265912
CPM only,Spearman,DMSO 2000,2000,0.7452495980379272,0.8379373732520258,83,46,55.42168674698795,46,46,100.0,37,0,0.0,0.18999969820595902
CPM only,Spearman,Vorino 2000,2000,0.7921038970245141,0.6929862352198132,83,37,44.57831325301205,46,0,0.0,37,37,100.0,0.863865527013976
CPM only,Spearman,Union 2000,3669,0.7679695399964729,0.7721512831827949,83,57,68.67469879518072,46,36,78.26086956521739,37,21,56.75675675675676,0.00043877589000143255
CPM only,Spearman,Intersect 2000,331,0.7866926849529363,0.7986103842842075,83,47,56.626506024096386,46,33,71.73913043478261,37,14,37.83783783783784,0.136134472986024
CPM only,Spearman,Union 3000,5437,0.8543768929740534,0.8519563240567068,83,58,69.87951807228916,46,30,65.21739130434783,37,28,75.67567567567568,0.00018917138158038935
CPM only,Spearman,Intersect 3000,563,0.8189926817513239,0.8312954092166713,83,48,57.83132530120482,46,35,76.08695652173913,37,13,35.13513513513514,0.09372993398309643
CPM only,Spearman,Union 5000,8803,0.9267554501525922,0.9228714318363487,83,53,63.855421686746986,46,21,45.65217391304348,37,32,86.48648648648648,0.007616100930997331
CPM only,Spearman,Intersect 5000,1197,0.8993862823309078,0.9075385980148237,83,54,65.06024096385542,46,43,93.47826086956522,37,11,29.72972972972973,0.004018353188928501
CPM only,Spearman,All Genes,35204,0.9321949782761475,0.9246911452970368,83,37,44.57831325301205,46,1,2.1739130434782608,37,36,97.29729729729729,0.863865527013976
